Title,Opening Date,Closing Date,Days Played,Company,Series,Category,Year,Season,Notes,Lost,Country,Genre
This is Spinal Tap!,2013-06-07,2013-06-08,2,Belcourt Theatre,,Film,2013,,,,,
The African Queen,2013-06-08,2013-06-13,6,Belcourt Theatre,,Film,2013,,,,,
We Steal Secrets: The Story of Wikileaks,2013-06-14,2013-06-20,7,Belcourt Theatre,,Film,2013,,,,,
Journey to Italy,2013-06-15,2013-06-16,2,Belcourt Theatre,,Film,2013,,,,,
Perfumed Nightmare,2013-06-20,2013-06-20,1,Belcourt Theatre,The Light and Sound Machine at Third Man Records,Film,2013,,,,,
House,2013-06-21,2013-06-22,2,Belcourt Theatre,,Film,2013,,,,,
Dirty Wars,2013-06-21,2013-06-27,7,Belcourt Theatre,,Film,2013,,,,,
Lawrence of Arabie,2013-06-21,2013-06-27,7,Belcourt Theatre,,Film,2013,,,,,
Much Ado About Nothing,2013-06-21,2013-07-25,35,Belcourt Theatre,,Film,2013,,,,,
20 Feet From Stardom,2013-06-28,2013-08-29,63,Belcourt Theatre,,Film,2013,,,,,
Earth vs. The Flying Saucers Double Feature,2013-06-29,2013-06-30,2,Belcourt Theatre,,Film,2013,,,,,
Raiders of the Lost Ark,2013-07-05,2013-07-06,2,Belcourt Theatre,,Film,2013,,,,,
Terminator 2: Judgement Day,2013-07-05,2013-07-06,2,Belcourt Theatre,,Film,2013,,,,,
Double Feature: The 7th Voyage of Sinbad,2013-07-06,2013-07-07,2,Belcourt Theatre,,Film,2013,,,,,
Showgirls with David Schmader,2013-07-11,2013-07-11,1,Belcourt Theatre,,Film,2013,,,,,
Teenage Mutant Ninja Turtles 2: The Secret of the Ooze,2013-07-12,2013-07-13,2,Belcourt Theatre,,Film,2013,,,,,
Willow,2013-07-12,2013-07-13,2,Belcourt Theatre,,Film,2013,,,,,
"Double Feature: The Beast from 20,000",2013-07-13,2013-07-14,2,Belcourt Theatre,,Film,2013,,,,,
Hey Bartender,2013-07-15,2013-07-16,2,Belcourt Theatre,,Film,2013,,,,,
Berberian Sound Studio,2013-07-17,2013-07-18,2,Belcourt Theatre,,Film,2013,,,,,
Ice,2013-07-18,2013-07-18,1,Belcourt Theatre,The Light and Sound Machine at Third Man Records,Film,2013,,,,,
Bill & Ted's Bogus Journey,2013-07-19,2013-07-20,2,Belcourt Theatre,,Film,2013,,,,,
Big Star: Nothing Can Hurt Me,2013-07-19,2013-08-01,14,Belcourt Theatre,,Film,2013,,,,,
Only God Forgives,2013-07-19,2013-08-01,14,Belcourt Theatre,,Film,2013,,,,,
High School,2013-07-20,2013-07-20,1,Belcourt Theatre,,Film,2013,,,,,
Los Olvidados,2013-07-21,2013-07-21,1,Belcourt Theatre,,Film,2013,,,,,
V/H/S/2,2013-07-24,2013-07-25,2,Belcourt Theatre,,Film,2013,,,,,
Gremlins 2: The New Batch,2013-07-26,2013-07-27,2,Belcourt Theatre,,Film,2013,,,,,
A Hijacking,2013-07-26,2013-07-30,5,Belcourt Theatre,,Film,2013,,,,,
Blue Gate Crossing,2013-07-27,2013-07-27,1,Belcourt Theatre,,Film,2013,,,,,
Offside,2013-07-28,2013-07-28,1,Belcourt Theatre,,Film,2013,,,,,
How to Make Money Selling Drugs,2013-07-31,2013-08-01,2,Belcourt Theatre,,Film,2013,,,,,
Hannah Arendt,2013-08-02,2013-08-14,13,Belcourt Theatre,,Film,2013,,,,,
Back to the Future Part II,2013-08-02,2013-08-03,2,Belcourt Theatre,,Film,2013,,,,,
L'Avventura,2013-08-02,2013-08-08,7,Belcourt Theatre,,Film,2013,,,,,
Crystal Fairy,2013-08-02,2013-08-10,9,Belcourt Theatre,,Film,2013,,,,,
In the Mood for Love,2013-08-07,2013-08-07,1,Belcourt Theatre,Won Kar-wai Wednesdays,Film,2013,,,,,
Aliens,2013-08-09,2013-08-10,2,Belcourt Theatre,,Film,2013,,,,,
Museum Hours,2013-08-09,2013-08-21,13,Belcourt Theatre,,Film,2013,,,,,
Blackfish,2013-08-09,2013-08-29,21,Belcourt Theatre,,Film,2013,,,,,
Zabriskie Point,2013-08-10,2013-08-11,2,Belcourt Theatre,,Film,2013,,,,,
Fallen Angels,2013-08-14,2013-08-14,1,Belcourt Theatre,Won Kar-wai Wednesdays,Film,2013,,,,,
An American Hippie In Israel,2013-08-16,2013-08-17,2,Belcourt Theatre,,Film,2013,,,,,
Computer Chess,2013-08-16,2013-08-22,7,Belcourt Theatre,,Film,2013,,,,,
The Act of Killing,2013-08-16,2013-08-28,13,Belcourt Theatre,,Film,2013,,,,,
The Passenger,2013-08-17,2013-08-18,2,Belcourt Theatre,,Film,2013,,,,,
Ashes of Time Redux,2013-08-21,2013-08-21,1,Belcourt Theatre,Won Kar-wai Wednesdays,Film,2013,,,,,
Antonio Das Mortes,2013-08-22,2013-08-22,1,Belcourt Theatre,The Light and Sound Machine at Third Man Records,Film,2013,,,,,
In A World...,2013-08-23,2013-10-03,42,Belcourt Theatre,,Film,2013,,,,,
E.T. The Extra Terrestrial,2013-08-23,2013-08-24,2,Belcourt Theatre,,Film,2013,,,,,
Scott Pilgrim vs The World,2013-08-23,2013-08-24,2,Belcourt Theatre,,Film,2013,,,,,
Blow-Up,2013-08-23,2013-08-25,3,Belcourt Theatre,,Film,2013,,,,,
Teen Witch,2013-08-30,2013-08-31,2,Belcourt Theatre,,Film,2013,,,,,
The Grandmaster,2013-08-30,2013-09-14,16,Belcourt Theatre,Won Kar-wai Wednesdays,Film,2013,,,,,
The Harder They Come,2013-09-05,2013-09-05,1,Belcourt Theatre,,Film,2013,,,,,
The Harder They Come,2013-09-25,2013-09-25,1,Belcourt Theatre,,Film,2013,,,,,
Passion,2013-09-06,2013-09-14,9,Belcourt Theatre,,Film,2013,,,,,
The Room,2013-09-06,2013-09-07,2,Belcourt Theatre,,Film,2013,,,,,
Manhattan,2013-09-07,2013-09-08,2,Belcourt Theatre,,Film,2013,,,,,
Short Term 12,2013-09-13,2013-10-03,21,Belcourt Theatre,,Film,2013,,,,,
Ain't Them Bodies Saints,2013-09-13,2013-09-26,14,Belcourt Theatre,,Film,2013,,,,,
Friday the 13th,2013-09-13,2013-09-13,1,Belcourt Theatre,,Film,2013,,,,,
Friday the 13th Part 2,2013-09-14,2013-09-14,1,Belcourt Theatre,,Film,2013,,,,,
Bananas,2013-09-14,2013-09-15,2,Belcourt Theatre,,Film,2013,,,,,
Speaking Directly,2013-09-19,2013-09-19,1,Belcourt Theatre,The Light and Sound Machine at Third Man Records,Film,2013,,,,,
Space Jam,2013-09-20,2013-09-21,2,Belcourt Theatre,,Film,2013,,,,,
Sleeper,2013-09-20,2013-09-22,3,Belcourt Theatre,,Film,2013,,,,,
Adore,2013-09-20,2013-09-26,7,Belcourt Theatre,,Film,2013,,,,,
