Year,Title,IMDb Title,IMDb Year,Rating,Genre,Director,Release Date,Country,IMDb URL,Poster URL
1925,Seven Days,,,,,,,,,
1925,Drusilla with a Million,Drusilla with a Million,1925,,Drama,F. Harmon Weight,18 Jun 1925 (USA),United States,https://www.imdb.com/title/tt0015767/,"https://m.media-amazon.com/images/M/MV5BMmE3NGYzMjgtNDEwYy00MmE3LWE0NWItOTQ3M2E0NzFiYzAyXkEyXkFqcGc@._V1_SY150_CR21,0,101,150_.jpg"
1925,Hell's Highroad,Hell's Highroad,1925,,Drama,Rupert Julian,18 Oct 1925 (USA),United States,https://www.imdb.com/title/tt0015905/,"https://m.media-amazon.com/images/M/MV5BNmZkNTVkNDEtZDlmMy00ZjUxLWFlNWYtYzVkYzI4OWI2ZTMyXkEyXkFqcGc@._V1_SY150_CR8,0,101,150_.jpg"
1925,The Keeper of the Bees,The Keeper of the Bees,1925,7.0,Drama,James Leo Meehan,18 Oct 1925 (USA),United States,https://www.imdb.com/title/tt0015972/,"https://m.media-amazon.com/images/M/MV5BN2Y2YWVkOTMtZTc1Ny00NDI0LThmZDctNzg1ZTUwN2E2ZmY2XkEyXkFqcGc@._V1_SY150_CR41,0,101,150_.jpg"
1925,His Buddy's Wife,His Buddy's Wife,1925,,Drama,Tom Terriss,04 Oct 1925 (USA),United States,https://www.imdb.com/title/tt0015914/,"https://m.media-amazon.com/images/M/MV5BMzY2N2RlMDktNTYxMy00ZjcxLTkzNzktMjJhNjAwYWJkOWU2XkEyXkFqcGc@._V1_SY150_CR59,0,101,150_.jpg"
1925,The Mask of Zorro,,,,,,,,,
1925,Madame Behave,Madame Behave,1925,6.4,"Comedy, Romance",Scott Sidney,06 Dec 1925 (USA),United States,https://www.imdb.com/title/tt0016064/,"https://m.media-amazon.com/images/M/MV5BNWFhNjY4YzItYTZlMy00MWEwLTg1NWYtNzgzNmI2ZjA4NmUyXkEyXkFqcGc@._V1_SY150_CR48,0,101,150_.jpg"
1925,Midnight Molly,Midnight Molly,1925,,Drama,Lloyd Ingraham,11 Jan 1925 (USA),United States,https://www.imdb.com/title/tt0016108/,"https://m.media-amazon.com/images/M/MV5BMWI2MWY5MmQtZTY2NS00M2M2LWJlNmEtYjAxYmJjNzQ5YzYxXkEyXkFqcGc@._V1_SY150_CR45,0,101,150_.jpg"
1925,Charley's Aunt,Charley's Aunt,1925,6.5,Comedy,Scott Sidney,30 Apr 1925 (Finland),United States,https://www.imdb.com/title/tt0005076/,"https://m.media-amazon.com/images/M/MV5BZDE0ZDg0MWItYjYzZC00MzAyLTkzNTYtYzM1MWMyOTZjN2M3XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1925,The Wedding Song,The Wedding Song,1925,,"Drama, Crime",Alan Hale,29 Nov 1925 (USA),United States,https://www.imdb.com/title/tt0016509/,"https://m.media-amazon.com/images/M/MV5BODBiZWViZjgtMTg3ZS00NjAxLTlkZTUtYmQwZTlhNzEzMTAzXkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg"
1925,The Mollycoddle,The Mollycoddle,1920,6.5,"Adventure, Comedy, Romance",Victor Fleming,13 Jun 1920 (USA),United States,https://www.imdb.com/title/tt0011474/,"https://m.media-amazon.com/images/M/MV5BZWUxMjRlMTMtYmE5Ny00NDg4LTkxNzMtNDU3NzBmOWJlY2M4XkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg"
1925,Scandal Proof,Scandal Proof,1925,,Drama,Edmund Mortimer,24 May 1925 (USA),United States,https://www.imdb.com/title/tt0016315/,"https://m.media-amazon.com/images/M/MV5BN2M1NmY3NjItMGQzZS00ODU1LWI3NDUtNjFmMWE1NDAyOGY0XkEyXkFqcGc@._V1_SY150_CR47,0,101,150_.jpg"
1925,The Freshman,The Freshman,1925,7.5,"Comedy, Family, Romance, Sport","Fred C. Newmeyer, Sam Taylor",20 Sep 1925 (USA),United States,https://www.imdb.com/title/tt0015841/,"https://m.media-amazon.com/images/M/MV5BMGI5NWY1YTgtMGYzNS00NGE0LThiM2UtZmU5NGI2NjBmMDRiXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1925,SIlk Stalking Sal,Silk Stocking Sal,1924,,Drama,Tod Browning,30 Nov 1924 (USA),United States,https://www.imdb.com/title/tt0016353/,"https://m.media-amazon.com/images/M/MV5BYWUyMjQ3ZGQtNjM4Ni00YWZkLTlhOWMtMzM5NWNiNDllMjU0XkEyXkFqcGc@._V1_SY150_CR5,0,101,150_.jpg"
1925,Robin Hood,Robin Hood,1922,7.0,"Adventure, Family, Romance",Allan Dwan,18 Oct 1922 (USA),United States,https://www.imdb.com/title/tt0013556/,"https://m.media-amazon.com/images/M/MV5BMDhhYzc2MjAtZmY2ZC00ZGQ1LTg0MDMtZDhiODM5YTJiMzMwXkEyXkFqcGc@._V1_SY150_CR4,0,101,150_.jpg"
1925,Why Worry?,Why Worry?,1923,7.3,"Adventure, Comedy, Family, Romance","Fred C. Newmeyer, Sam Taylor",09 Sep 1923 (USA),United States,https://www.imdb.com/title/tt0014611/,"https://m.media-amazon.com/images/M/MV5BOTk0MGU2YmMtMzU4MS00ODYzLWJhNmYtZWI0MjA0NmFjOGYyXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1925,Orphans of the Storm,Orphans of the Storm,1921,7.3,"Drama, History, Romance",D.W. Griffith,1922 (Poland),United States,https://www.imdb.com/title/tt0012532/,"https://m.media-amazon.com/images/M/MV5BMDM1ZmM5NWUtYmNlNy00ODcyLWFmNDQtMWI0Y2NmOGI4YzQ2XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1926,Wild Justice,Wild Justice,1925,1.0,Adventure,Chester M. Franklin,06 Jul 1925 (USA),United States,https://www.imdb.com/title/tt0016535/,"https://m.media-amazon.com/images/M/MV5BYjNhOGQwYWQtY2UxMS00MzRjLTlmNmItYTEzZWYwNmFjZjdiXkEyXkFqcGc@._V1_SY150_CR1,0,101,150_.jpg"
1926,Three Faces East,Three Faces East,1926,,Drama,Rupert Julian,03 Feb 1926 (USA),United States,https://www.imdb.com/title/tt0017464/,"https://m.media-amazon.com/images/M/MV5BZTU4NTg0MGItMmU0MC00ZDBmLTllM2MtOTcwZWE4ZGE3MzRkXkEyXkFqcGc@._V1_SY150_CR2,0,101,150_.jpg"
1926,Friendly Enemies,Friendly Enemies,1925,,Comedy,George Melford,16 Mar 1925 (USA),United States,https://www.imdb.com/title/tt0015843/,"https://m.media-amazon.com/images/M/MV5BY2I3YWFhMWYtYWQwMS00NGNlLWEwNjAtNWIxNTk4NDljYmEwXkEyXkFqcGc@._V1_SY150_CR7,0,101,150_.jpg"
1926,Braveheart,Braveheart,1925,7.8,Western,Alan Hale,27 Dec 1925 (USA),United States,https://www.imdb.com/title/tt0015643/,"https://m.media-amazon.com/images/M/MV5BZTg1ZDU2N2UtNGE3Zi00MjU3LTg2ZGItNzllZGFiMDQwZTA1XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1926,Steel Preferred,Steel Preferred,1925,,Drama,James P. Hogan,03 Jan 1926 (USA),United States,https://www.imdb.com/title/tt0017428/,"https://m.media-amazon.com/images/M/MV5BOTQ0ZTY4MzMtMzJiZi00N2FmLTg2MTctMTA4OWRkMDhhNDAzXkEyXkFqcGc@._V1_SY150_CR45,0,101,150_.jpg"
1926,The Road to Yesterday,The Road to Yesterday,1925,6.3,"Drama, Fantasy, Romance",Cecil B. DeMille,15 Nov 1925 (USA),United States,https://www.imdb.com/title/tt0016294/,"https://m.media-amazon.com/images/M/MV5BYTdhYTM3ZGUtYjNlMS00YWZlLWI0NzQtZGI0ZTMxYTQxYTMyXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1926,Rocking Moon,Rocking Moon,1926,,Drama,George Melford,10 Jan 1926 (USA),United States,https://www.imdb.com/title/tt0017331/,"https://m.media-amazon.com/images/M/MV5BMDE4M2YxNDYtNDA0OC00NzJkLWE2MTgtZWYxNmRiMzA3NTUxXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1926,People Versus Nancy Preston,The People vs. Nancy Preston,1925,,Drama,Tom Forman,01 Nov 1925 (USA),United States,https://www.imdb.com/title/tt0016209/,"https://m.media-amazon.com/images/M/MV5BZGFjYzhjNjMtNDgzMy00OWVmLWE3ZjAtOGMyY2Y5MWRmNGE1XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1926,Made for Love,Made for Love,1926,6.6,"Drama, Romance",Paul Sloane,Jan 1926 (USA),United States,https://www.imdb.com/title/tt0017100/,"https://m.media-amazon.com/images/M/MV5BMDMzOTFmYTAtNjJmMi00NmUyLTg2N2UtZDI3MGRhY2FlMDZlXkEyXkFqcGc@._V1_SY150_CR2,0,101,150_.jpg"
1926,A Reckless Romance,Reckless Romance,1924,,Comedy,Scott Sidney,09 Nov 1924 (USA),United States,https://www.imdb.com/title/tt0015265/,"https://m.media-amazon.com/images/M/MV5BZTdiNDc3YTMtY2Q2My00NzY5LWIzNGUtZTkwNzU3M2ZjMDNhXkEyXkFqcGc@._V1_SY150_CR3,0,101,150_.jpg"
1926,Capital City All-Star Ministrels,,,,,,,,,
1926,Welcome Stranger,Welcome Stranger,1924,,"Comedy, Drama",James Young,24 Aug 1924 (USA),United States,https://www.imdb.com/title/tt0015476/,"https://m.media-amazon.com/images/M/MV5BZDkwMGIxZDYtNTkxYy00ZmJhLWIzNjAtNThhNmM3ZjA5M2U2XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1926,Beauty and the Bad Man,Beauty and the Bad Man,1925,,Western,William Worthington,29 Mar 1925 (USA),United States,https://www.imdb.com/title/tt0015609/,"https://m.media-amazon.com/images/M/MV5BNDM0NTQ5MDgtOTMyMS00NTRjLWIzOTAtYTRhYTc5OTc4NGZlXkEyXkFqcGc@._V1_SY150_CR48,0,101,150_.jpg"
1926,Her Own Free Will,Her Own Free Will,1924,,Drama,Paul Scardon,20 Jul 1924 (USA),United States,https://www.imdb.com/title/tt0014983/,"https://m.media-amazon.com/images/M/MV5BZmJhZTg2Y2ItZTdmMS00MDViLTgzNGEtNDY3N2M0ZjVlZDA3XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1926,The Midnight Flyer,The Midnight Flyer,1918,,"Short, Action, Drama",George Marshall,29 Jun 1918 (USA),United States,https://www.imdb.com/title/tt0222193/,
1926,Off the Highway,Off the Highway,1925,,Drama,Tom Forman,15 Aug 1925 (USA),United States,https://www.imdb.com/title/tt0016171/,"https://m.media-amazon.com/images/M/MV5BMDNmZmVmMjQtYTRhYy00YTljLWI1NTctOGE5ZTIwNWMxZjY1XkEyXkFqcGc@._V1_SY150_CR46,0,101,150_.jpg"
1926,A Broadway Lady,Broadway Lady,1925,,Drama,Wesley Ruggles,15 Nov 1925 (USA),United States,https://www.imdb.com/title/tt0015647/,"https://m.media-amazon.com/images/M/MV5BNWY5Njg1YzUtNWEyNS00MDcwLTljZjYtZjFhMzJmMGVjNGE1XkEyXkFqcGc@._V1_SY150_CR45,0,101,150_.jpg"
1926,Peabody Dramatic Club Rental,,,,,,,,,
1926,Safety Last,Safety Last!,1923,8.1,"Action, Comedy, Thriller","Fred C. Newmeyer, Sam Taylor",01 Apr 1923 (USA),United States,https://www.imdb.com/title/tt0014429/,"https://m.media-amazon.com/images/M/MV5BNjc2NjNkYzgtNzQwMi00YWI4LTkzNGMtYzJlMWQxNjAzNGQ4XkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg"
